Date,Ticker,grossPnL,feesTrade,netPnL,numTrade,Tag,Strategy
2025-01-31,MSFT,-1.677983965192368,4.835191887664794,-6.513175852857163,58,OOS,HMA_Trend
2025-01-31,NG=F,-0.04628480332238416,0.039674521440267556,-0.08595932476265174,65,OOS,HMA_Trend
2025-01-31,NVDA,4.410062789916978,1.3188942313875476,3.0911685585294304,53,OOS,HMA_Trend
2025-01-31,OPTT,0.0034165850707462697,0.007934643396309443,-0.004518058325563176,58,OOS,HMA_Trend
2025-01-31,QQQ,-0.8586600167413962,7.279511829485212,-8.13817184622661,69,OOS,HMA_Trend
2025-01-31,TSLA,13.28053174700068,4.040568474578858,9.239963272421823,49,OOS,HMA_Trend
2025-01-31,UNH,0.3745444161551177,7.311648761204312,-6.9371043450491925,67,OOS,HMA_Trend
2025-03-31,AAPL,-2.186185564313604,2.8627119237627303,-5.048897488076333,65,OOS,HMA_Trend
2025-03-31,AMD,-3.3735915592739047,1.281015163121905,-4.65460672239581,63,OOS,HMA_Trend
2025-03-31,AMGN,0.5646896362304688,3.9882115146092025,-3.4235218783787342,64,OOS,HMA_Trend
2025-03-31,AMZN,0.4801510402133715,1.99838520589556,-1.5182341656821892,53,OOS,HMA_Trend
2025-03-31,DJI,-254.4425223214348,601.349281501116,-855.7918038225511,72,OOS,HMA_Trend
2025-03-31,FTSE,-0.396728515628638,106.08514623674667,-106.4818747523753,62,OOS,HMA_Trend
2025-03-31,GME,0.5745607103620287,0.2640225778715951,0.31053813249043366,60,OOS,HMA_Trend
2025-03-31,GOOG,-2.933217729840976,2.108587782069615,-5.041805511910592,68,OOS,HMA_Trend
2025-03-31,GSPC,-77.59324428013224,90.19752265799387,-167.7907669381261,81,OOS,HMA_Trend
2025-03-31,MSFT,-1.9268678937638697,5.270468430546352,-7.197336324310224,71,OOS,HMA_Trend
2025-03-31,NVDA,-2.9539740426200183,1.4029531200953889,-4.356927162715409,66,OOS,HMA_Trend
2025-03-31,OPTT,-0.02423499950340835,0.005081288245533194,-0.029316287748941544,57,OOS,HMA_Trend
2025-03-31,QQQ,-8.02928706577859,6.691104430607388,-14.720391496385977,72,OOS,HMA_Trend
2025-03-31,RUT,1.3788713727672075,28.464327141462057,-27.08545576869485,71,OOS,HMA_Trend
2025-03-31,TSLA,-2.4112232753207934,2.8525484040396556,-5.263771679360448,56,OOS,HMA_Trend
2025-03-31,UNH,-6.606929234096128,6.191308865792412,-12.798238099888538,59,OOS,HMA_Trend
2025-07-31,AAPL,-1.8485352652413667,2.8819276885441365,-4.730462953785507,69,OOS,HMA_Trend
2025-07-31,AMD,3.6984569004604566,2.1019524531773155,1.5965044472831387,59,OOS,HMA_Trend
2025-07-31,AMGN,2.427228655133945,3.6446613416399276,-1.2174326865059832,61,OOS,HMA_Trend
2025-07-31,AMZN,-1.270926339285694,2.620661215536936,-3.891587554822629,56,OOS,HMA_Trend
2025-07-31,DJI,147.45605468750728,568.1737697126117,-420.7177150251045,64,OOS,HMA_Trend
2025-07-31,FTSE,10.422119140621362,119.17518419015063,-108.75306504952927,65,OOS,HMA_Trend
2025-07-31,GME,0.20845454079763925,0.3057037901333401,-0.09724924933570073,68,OOS,HMA_Trend
2025-07-31,GOOG,4.066115788051064,2.1675250237056187,1.8985907643454463,56,OOS,HMA_Trend
2025-07-31,GSPC,77.11087472098279,68.86358022809708,8.247294492885683,54,OOS,HMA_Trend
2025-07-31,MSFT,-7.652764456612658,6.853365653555736,-14.506130110168394,64,OOS,HMA_Trend
2025-07-31,NVDA,2.8440153939382924,1.9326732717786514,0.911342122159641,54,OOS,HMA_Trend
2025-07-31,OPTT,-0.04065661770956852,0.006561950246351108,-0.047218567955919624,61,OOS,HMA_Trend
2025-07-31,QQQ,8.370123726980864,6.13690972050258,2.2332140064782835,54,OOS,HMA_Trend
2025-07-31,RUT,18.80527169363768,28.43541942749024,-9.63014773385256,64,OOS,HMA_Trend
2025-07-31,TSLA,-0.842393057686877,3.4265486590794163,-4.268941716766291,55,OOS,HMA_Trend
2025-07-31,UNH,0.07416752406524552,2.2243656749180385,-2.150198150852794,44,OOS,HMA_Trend
2025-06-26,AAPL,0.3821923392160045,1.2038099324907576,-0.8216175932747533,30,OOS,Donchian_BO
2025-06-26,AMD,0.0,0.0,0.0,0,OOS,Donchian_BO
2025-06-26,AMGN,2.142046247209919,2.242503523472377,-0.10045727626245918,40,OOS,Donchian_BO
2025-06-26,AMZN,-0.08011463710246858,0.7387802684783936,-0.8188949055808622,17,OOS,Donchian_BO
2025-06-26,DJI,-80.76102120536962,363.9420251534599,-444.7030463588294,42,OOS,Donchian_BO
